Mouse,Genotype,all SIGNAL1,SIGNAL1 & SIGNAL2,SIGNAL1 no SIGNAL2,SIGNAL1 & SIGNAL2 & SIGNAL3,SIGNAL1 & SIGNAL2 no SIGNAL3,SIGNAL1 & SIGNAL3 & SIGNAL2,SIGNAL1 no SIGNAL2 no SIGNAL3,SIGNAL1 & SIGNAL3,SIGNAL1 no SIGNAL3
2831,Disease,0.114625,0.1446875,0.1065,0.1795,0.12775,0.14975,0.0935,0.1589375,0.1005
2837,Disease,0.11025,0.1348125,0.1008125,0.1500625,0.1253125,0.1248125,0.0969375,0.13325,0.1039375
2839,Control,0.09525,0.1163125,0.087875,0.155875,0.105625,0.1075,0.08225,0.123125,0.0878125
2849,Disease,0.1049375,0.123375,0.097625,0.13975,0.116125,0.122625,0.0923125,0.128875,0.09775
2851,Control,0.109125,0.1420625,0.102,0.1880625,0.1274375,0.1359375,0.092625,0.146625,0.0989375
2855,Control,0.091875,0.11825,0.083375,0.1589375,0.1065625,0.109125,0.078125,0.1233125,0.084875
2936,Disease,0.112375,0.1376875,0.1015625,0.176875,0.1283125,0.1235625,0.096375,0.1390625,0.1070625
2938,Disease,0.0971875,0.1150625,0.093375,0.14775,0.1030625,0.117,0.0878125,0.123375,0.0904375
2940,Disease,0.103625,0.1259375,0.093375,0.15675,0.1124375,0.119625,0.08775,0.1324375,0.0945
2942,Control,0.10075,0.1269375,0.0955625,0.1645,0.107,0.1298125,0.0859375,0.13575,0.089
2956,Control,0.0993125,0.1241875,0.0898125,0.1645625,0.1071875,0.1150625,0.081875,0.1294375,0.0876875
2968,Control,0.0998125,0.1176875,0.096375,0.15775,0.1050625,0.13525,0.09,0.1379375,0.0923125
