Stats,index,all SIGNAL1,SIGNAL1 & SIGNAL2,SIGNAL1 no SIGNAL2,SIGNAL1 & SIGNAL2 & SIGNAL3,SIGNAL1 & SIGNAL2 no SIGNAL3,SIGNAL1 & SIGNAL3 & SIGNAL2,SIGNAL1 no SIGNAL2 no SIGNAL3,SIGNAL1 & SIGNAL3,SIGNAL1 no SIGNAL3
Sum Stats,C Mean,116.4530625,33.3075625,83.1455,14.0658125,19.24175,26.23970833,56.90579167,40.30552083,76.14754167
,NLS Mean,113.4335208,36.3060625,77.12745833,13.66708333,22.63897917,22.27283333,54.854625,35.93991667,77.49360417
,C SD,26.03551587,11.47706015,20.8146272,5.686149767,6.58263786,8.002794181,14.88223642,11.70263862,17.59119435
,NLS SD,27.82671546,13.99318042,18.6259008,5.789459271,9.392011645,8.346391358,11.49063422,12.79906497,17.55411112
,C SE,10.62895485,4.685490185,8.497535971,2.321360921,2.687350653,3.267127044,6.075647576,4.777582212,7.181575022
,NLS SE,11.36020902,5.712691987,7.603992159,2.36353685,3.834272698,3.407400004,4.691031776,5.225196393,7.166435856
,C Var,677.8480867,131.7229096,433.2487055,32.33229917,43.3311212,64.04471471,221.4809608,136.9517508,309.4501188
,NLS Var,774.3260935,195.8090984,346.9241805,33.51783865,88.20988273,69.6622487,132.0346747,163.8160641,308.1468172
,C n,6,6,6,6,6,6,6,6,6
,NLS n,6,6,6,6,6,6,6,6,6
,C df,10,10,10,10,10,10,10,10,10
,NLS df,10,10,10,10,10,10,10,10,10
Count Stats,C Mean,894.9583333,206.2916667,688.6666667,67.70833333,138.5833333,165.4583333,523.2083333,233.1666667,661.7916667
,NLS Mean,844.7291667,224,620.7291667,68.85416667,155.1458333,142.625,478.1041667,211.4791667,633.25
,C SD,168.569564,68.37976065,136.9948828,27.55762901,45.58814722,39.06282333,116.4476724,59.25625846,135.8128001
,NLS SD,217.971406,83.95061793,165.1149868,29.38498944,59.67581256,52.84026637,117.9433767,74.53000305,154.4142561
,C SE,68.81823634,27.91592039,55.92792671,11.25035493,18.61128317,15.94733085,47.5395632,24.19126622,55.44534346
,NLS SE,88.98645389,34.27269625,67.40791108,11.9963717,24.36254846,21.57194841,48.1501819,30.42674633,63.03935609
,C Var,28415.69792,4675.791667,18767.59792,759.4229167,2078.279167,1525.904167,13560.06042,3511.304167,18445.11667
,NLS Var,47511.53385,7047.70625,27262.95885,863.4776042,3561.202604,2792.09375,13910.6401,5554.721354,23843.7625
,C n,6,6,6,6,6,6,6,6,6
,NLS n,6,6,6,6,6,6,6,6,6
,C df,10,10,10,10,10,10,10,10,10
,NLS df,10,10,10,10,10,10,10,10,10
Median Stats,C Mean,0.099354167,0.124239583,0.0925,0.164947917,0.1098125,0.122114583,0.085135417,0.132697917,0.090104167
,NLS Mean,0.107166667,0.130260417,0.098875,0.158447917,0.118833333,0.126229167,0.092447917,0.135989583,0.09903125
,C SD,0.005838004,0.009660035,0.006730876,0.011873383,0.008672964,0.013076065,0.00544983,0.009177028,0.004950957
,NLS SD,0.006470808,0.01078051,0.005122103,0.016248097,0.010082679,0.011867015,0.004006521,0.012376731,0.006111561
,C SE,0.002383355,0.003943693,0.002747868,0.004847288,0.003540723,0.005338281,0.002224884,0.003746506,0.00202122
,NLS SE,0.002641696,0.004401125,0.00209109,0.006633258,0.004116236,0.004844689,0.001635656,0.005052779,0.002495034
,C Var,3.40823E-05,9.33163E-05,4.53047E-05,0.000140977,7.52203E-05,0.000170983,2.97007E-05,8.42178E-05,2.4512E-05
,NLS Var,4.18714E-05,0.000116219,2.62359E-05,0.000264001,0.00010166,0.000140826,1.60522E-05,0.000153183,3.73512E-05
,C n,6,6,6,6,6,6,6,6,6
,NLS n,6,6,6,6,6,6,6,6,6
,C df,10,10,10,10,10,10,10,10,10
,NLS df,10,10,10,10,10,10,10,10,10
