Mouse,Genotype,all SIGNAL1,SIGNAL1 & SIGNAL2,SIGNAL1 no SIGNAL2,SIGNAL1 & SIGNAL2 & SIGNAL3,SIGNAL1 & SIGNAL2 no SIGNAL3,SIGNAL1 & SIGNAL3 & SIGNAL2,SIGNAL1 no SIGNAL2 no SIGNAL3,SIGNAL1 & SIGNAL3,SIGNAL1 no SIGNAL3
2831,Disease,121.02525,33.970625,87.054625,16.263875,17.70675,32.123375,54.93125,48.38725,72.638
2837,Disease,67.20025,21.80525,45.395,7.336125,14.469125,10.06675,35.32825,17.402875,49.797375
2839,Control,72.3435,23.46325,48.88025,9.755625,13.707625,16.673,32.20725,26.428625,45.914875
2849,Disease,98.636,30.5905,68.0455,10.60425,19.98625,18.61875,49.42675,29.223,69.413
2851,Control,152.62725,41.853,110.77425,17.070625,24.782375,39.1385,71.63575,56.209125,96.418125
2855,Control,120.251125,43.5205,76.730625,15.86975,27.65075,20.101125,56.6295,35.970875,84.28025
2936,Disease,126.8125,51.734125,75.078375,14.94625,36.787875,17.205875,57.8725,32.152125,94.660375
2938,Disease,118.0345,24.583125,93.451375,9.55125,15.031875,26.831875,66.6195,36.383125,81.651375
2940,Disease,148.892625,55.15275,93.739875,23.30075,31.852,28.790375,64.9495,52.091125,96.8015
2942,Control,110.401375,23.666375,86.735,11.1905,12.475875,29.382875,57.352125,40.573375,69.828
2956,Control,125.55125,45.73675,79.8145,22.99075,22.746,28.782875,51.031625,51.773625,73.777625
2968,Control,117.543875,21.6055,95.938375,7.517625,14.087875,23.359875,72.5785,30.8775,86.666375
