,index,Mouse,Sex,Genotype,File,Signal1,Signal2,Signal3,all SIGNAL1,SIGNAL1 & SIGNAL2,SIGNAL1 no SIGNAL2,SIGNAL1 & SIGNAL2 & SIGNAL3,SIGNAL1 & SIGNAL2 no SIGNAL3,SIGNAL1 & SIGNAL3 & SIGNAL2,SIGNAL1 no SIGNAL2 no SIGNAL3,SIGNAL1 & SIGNAL3,SIGNAL1 no SIGNAL3
0,1,2940,F,Disease,1A1,463,5017,795,903,382,521,148,234,128,393,276,627
1,2,2940,F,Disease,1A2,159,2499,933,989,358,631,89,269,128,503,217,772
2,3,2940,F,Disease,1A3,148,6118,577,1096,273,823,85,188,136,687,221,875
3,4,2940,F,Disease,1A4,440,2424,809,1261,391,870,129,262,225,645,354,907
4,5,2940,F,Disease,1B1,367,3165,897,1192,344,848,99,245,176,672,275,917
5,6,2940,F,Disease,1B2,321,4589,982,1208,342,866,147,195,297,569,444,764
6,7,2940,F,Disease,1B3,57,2624,398,1288,379,909,153,226,274,635,427,861
7,8,2940,F,Disease,1B4,426,3821,945,1130,331,799,123,208,191,608,314,816
8,9,2936,F,Disease,2A1,398,3564,642,688,258,430,13,245,19,411,32,656
9,10,2936,F,Disease,2A2,155,2993,951,697,269,428,25,244,31,397,56,641
10,11,2936,F,Disease,2A3,449,5150,1066,684,271,413,62,209,69,344,131,553
11,12,2936,F,Disease,2A4,471,1072,1116,705,242,463,60,182,76,387,136,569
12,13,2936,F,Disease,2B1,284,4363,1019,1081,373,708,107,266,125,583,232,849
13,14,2936,F,Disease,2B2,110,1766,713,859,343,516,57,286,74,442,131,728
14,15,2936,F,Disease,2B3,415,3744,899,1146,275,871,68,207,180,691,248,898
15,16,2936,F,Disease,2B4,331,3845,758,1184,370,814,170,200,263,551,433,751
16,17,2849,M,Disease,3A1,365,5009,857,634,244,390,73,171,62,328,135,499
17,18,2849,M,Disease,3A2,115,3636,1018,662,225,437,54,171,74,363,128,534
18,19,2849,M,Disease,3A3,365,5270,923,865,250,615,90,160,139,476,229,636
19,20,2849,M,Disease,3A4,206,3645,899,903,106,797,39,67,197,600,236,667
20,21,2849,M,Disease,3B1,93,5560,971,689,164,525,30,134,58,467,88,601
21,22,2849,M,Disease,3B2,269,6196,351,699,182,517,67,115,166,351,233,466
22,23,2849,M,Disease,3B3,359,6230,268,879,212,667,75,137,197,470,272,607
23,24,2849,M,Disease,3B4,197,4341,601,894,275,619,65,210,120,499,185,709
24,25,2855,M,Control,4A1,173,3167,1179,1008,245,763,81,164,164,599,245,763
25,26,2855,M,Control,4A2,277,1737,763,1048,330,718,96,234,160,558,256,792
26,27,2855,M,Control,4A3,59,1548,637,1295,492,803,127,365,157,646,284,1011
