,index,Mouse,Sex,Genotype,File,Signal1,Signal2,Signal3,all SIGNAL1,SIGNAL1 & SIGNAL2,SIGNAL1 no SIGNAL2,SIGNAL1 & SIGNAL2 & SIGNAL3,SIGNAL1 & SIGNAL2 no SIGNAL3,SIGNAL1 & SIGNAL3 & SIGNAL2,SIGNAL1 no SIGNAL2 no SIGNAL3,SIGNAL1 & SIGNAL3,SIGNAL1 no SIGNAL3
0,1,2940,F,Disease,1A1,463,5017,795,0.11,0.1365,0.098,0.159,0.1085,0.1285,0.095,0.15,0.1
1,2,2940,F,Disease,1A2,159,2499,933,0.105,0.122,0.093,0.136,0.12,0.1165,0.09,0.122,0.101
2,3,2940,F,Disease,1A3,148,6118,577,0.096,0.11,0.091,0.153,0.098,0.12,0.086,0.133,0.087
3,4,2940,F,Disease,1A4,440,2424,809,0.107,0.125,0.093,0.164,0.117,0.12,0.088,0.127,0.097
4,5,2940,F,Disease,1B1,367,3165,897,0.103,0.132,0.093,0.171,0.118,0.114,0.088,0.133,0.097
5,6,2940,F,Disease,1B2,321,4589,982,0.095,0.129,0.085,0.155,0.107,0.105,0.077,0.1215,0.083
6,7,2940,F,Disease,1B3,57,2624,398,0.101,0.117,0.092,0.147,0.109,0.122,0.085,0.127,0.09
7,8,2940,F,Disease,1B4,426,3821,945,0.112,0.136,0.102,0.169,0.122,0.131,0.093,0.146,0.101
8,9,2936,F,Disease,2A1,398,3564,642,0.107,0.1235,0.096,0.242,0.118,0.111,0.095,0.1275,0.1065
9,10,2936,F,Disease,2A2,155,2993,951,0.117,0.13,0.11,0.155,0.125,0.107,0.11,0.127,0.117
10,11,2936,F,Disease,2A3,449,5150,1066,0.108,0.135,0.095,0.158,0.128,0.107,0.091,0.126,0.107
11,12,2936,F,Disease,2A4,471,1072,1116,0.113,0.146,0.103,0.159,0.1375,0.1405,0.098,0.147,0.108
12,13,2936,F,Disease,2B1,284,4363,1019,0.11,0.132,0.098,0.162,0.1255,0.136,0.091,0.152,0.102
13,14,2936,F,Disease,2B2,110,1766,713,0.107,0.13,0.095,0.168,0.126,0.115,0.092,0.132,0.105
14,15,2936,F,Disease,2B3,415,3744,899,0.127,0.166,0.118,0.2045,0.156,0.139,0.111,0.151,0.121
15,16,2936,F,Disease,2B4,331,3845,758,0.11,0.139,0.0975,0.1665,0.1105,0.133,0.083,0.15,0.09
16,17,2849,M,Disease,3A1,365,5009,857,0.101,0.123,0.086,0.133,0.12,0.0975,0.083,0.115,0.095
17,18,2849,M,Disease,3A2,115,3636,1018,0.091,0.112,0.086,0.1135,0.112,0.112,0.082,0.112,0.087
18,19,2849,M,Disease,3A3,365,5270,923,0.111,0.1325,0.101,0.1515,0.1235,0.125,0.096,0.137,0.103
19,20,2849,M,Disease,3A4,206,3645,899,0.102,0.129,0.097,0.143,0.118,0.115,0.0915,0.119,0.093
20,21,2849,M,Disease,3B1,93,5560,971,0.117,0.123,0.112,0.118,0.124,0.167,0.106,0.155,0.112
21,22,2849,M,Disease,3B2,269,6196,351,0.105,0.12,0.101,0.145,0.106,0.1265,0.092,0.128,0.093
22,23,2849,M,Disease,3B3,359,6230,268,0.107,0.1165,0.101,0.14,0.108,0.131,0.093,0.134,0.097
23,24,2849,M,Disease,3B4,197,4341,601,0.1055,0.131,0.097,0.174,0.1175,0.107,0.095,0.131,0.102
24,25,2855,M,Control,4A1,173,3167,1179,0.093,0.108,0.087,0.157,0.094,0.113,0.082,0.126,0.083
25,26,2855,M,Control,4A2,277,1737,763,0.103,0.1225,0.097,0.1785,0.114,0.113,0.091,0.123,0.097
26,27,2855,M,Control,4A3,59,1548,637,0.095,0.109,0.085,0.153,0.101,0.105,0.082,0.12,0.088
27,28,2855,M,Control,4A4,434,2277,592,0.091,0.1265,0.085,0.1535,0.117,0.106,0.08,0.12,0.086
28,29,2855,M,Control,4B1,326,5798,267,0.095,0.142,0.083,0.219,0.125,0.141,0.077,0.1705,0.087
29,30,2855,M,Control,4B2,375,4420,853,0.087,0.115,0.078,0.1555,0.103,0.102,0.072,0.11,0.081
30,31,2855,M,Control,4B3,382,2228,704,0.09,0.121,0.081,0.146,0.102,0.107,0.075,0.12,0.081
31,32,2855,M,Control,4B4,431,137,724,0.081,0.102,0.071,0.109,0.0965,0.086,0.066,0.097,0.076
32,33,2968,F,Control,5A1,236,2506,362,0.0915,0.106,0.087,0.087,0.106,0.157,0.085,0.141,0.088
33,34,2968,F,Control,5A2,169,1040,978,0.107,0.131,0.1,0.1675,0.101,0.1335,0.088,0.148,0.092
34,35,2968,F,Control,5A3,315,1730,690,0.097,0.138,0.091,0.188,0.133,0.118,0.088,0.122,0.095
35,36,2968,F,Control,5A4,189,3577,373,0.107,0.1325,0.105,0.2065,0.1115,0.1605,0.098,0.164,0.1
36,37,2968,F,Control,5B1,262,1618,1137,0.117,0.141,0.112,0.192,0.115,0.156,0.096,0.165,0.097
37,38,2968,F,Control,5B2,230,987,692,0.096,0.095,0.096,0.106,0.089,0.135,0.092,0.1325,0.092
38,39,2968,F,Control,5B3,370,4243,1010,0.093,0.102,0.09,0.17,0.092,0.118,0.086,0.123,0.087
39,40,2968,F,Control,5B4,336,2686,1173,0.09,0.096,0.09,0.145,0.093,0.104,0.087,0.108,0.0875
40,41,2839,M,Control,6A1,320,729,686,0.0965,0.113,0.088,0.157,0.1,0.113,0.085,0.1265,0.087
41,42,2839,M,Control,6A2,383,866,1191,0.088,0.087,0.089,0.096,0.0865,0.106,0.081,0.106,0.082
42,43,2839,M,Control,6A3,341,3903,978,0.095,0.116,0.091,0.133,0.097,0.115,0.084,0.124,0.088
43,44,2839,M,Control,6A4,311,4927,1067,0.093,0.108,0.085,0.195,0.0995,0.0975,0.077,0.127,0.087
44,45,2839,M,Control,6B1,373,3905,748,0.098,0.133,0.085,0.198,0.121,0.13,0.077,0.1455,0.086
45,46,2839,M,Control,6B2,124,3871,724,0.096,0.123,0.086,0.1675,0.105,0.095,0.083,0.118,0.089
46,47,2839,M,Control,6B3,306,190,534,0.0975,0.1195,0.088,0.1605,0.107,0.1065,0.083,0.121,0.088
47,48,2839,M,Control,6B4,464,715,280,0.098,0.131,0.091,0.14,0.129,0.097,0.088,0.117,0.0955
48,49,2938,F,Disease,7A1,52,1455,382,0.102,0.099,0.102,0.099,0.0985,0.108,0.1015,0.107,0.101
49,50,2938,F,Disease,7A2,72,1415,728,0.092,0.121,0.082,0.149,0.105,0.108,0.077,0.118,0.082
50,51,2938,F,Disease,7A3,111,5822,532,0.097,0.138,0.092,0.192,0.1225,0.117,0.087,0.127,0.091
51,52,2938,F,Disease,7A4,367,112,221,0.0955,0.1065,0.095,0.107,0.1065,0.132,0.088,0.129,0.09
52,53,2938,F,Disease,7B1,424,3941,968,0.101,0.106,0.1,0.147,0.092,0.111,0.093,0.114,0.0925
53,54,2938,F,Disease,7B2,94,4704,947,0.093,0.115,0.09,0.161,0.0985,0.124,0.083,0.132,0.087
54,55,2938,F,Disease,7B3,249,6261,358,0.095,0.112,0.092,0.163,0.0955,0.111,0.09,0.12,0.09
55,56,2938,F,Disease,7B4,263,5071,1036,0.102,0.123,0.094,0.164,0.106,0.125,0.083,0.14,0.09
56,57,2837,M,Disease,8A1,112,4119,193,0.097,0.129,0.09,0.139,0.127,0.111,0.09,0.125,0.095
57,58,2837,M,Disease,8A2,170,3999,312,0.102,0.121,0.0955,0.103,0.133,0.11,0.095,0.108,0.101
58,59,2837,M,Disease,8A3,421,5719,733,0.109,0.1275,0.1055,0.1545,0.099,0.128,0.091,0.1345,0.092
59,60,2837,M,Disease,8A4,461,2646,319,0.101,0.112,0.0975,0.126,0.11,0.091,0.102,0.0955,0.102
60,61,2837,M,Disease,8B1,412,3456,752,0.115,0.141,0.106,0.153,0.133,0.156,0.1025,0.156,0.1115
61,62,2837,M,Disease,8B2,313,5010,731,0.122,0.167,0.115,0.207,0.145,0.1555,0.11,0.162,0.115
62,63,2837,M,Disease,8B3,445,4885,439,0.113,0.122,0.11,0.147,0.105,0.152,0.099,0.147,0.1
63,64,2837,M,Disease,8B4,86,4748,868,0.123,0.159,0.087,0.171,0.1505,0.095,0.086,0.138,0.115
64,65,2831,M,Disease,9A1,306,2845,199,0.127,0.155,0.121,0.2205,0.123,0.1655,0.103,0.179,0.111
65,66,2831,M,Disease,9A2,402,2747,1048,0.123,0.143,0.117,0.147,0.131,0.146,0.096,0.146,0.1055
66,67,2831,M,Disease,9A3,102,6164,271,0.104,0.1185,0.101,0.14,0.1,0.125,0.083,0.127,0.087
67,68,2831,M,Disease,9A4,284,6075,868,0.106,0.151,0.101,0.194,0.142,0.148,0.091,0.1515,0.097
68,69,2831,M,Disease,9B1,148,2530,1222,0.1105,0.145,0.102,0.187,0.12,0.1515,0.09,0.17,0.0975
69,70,2831,M,Disease,9B2,266,1423,867,0.115,0.1475,0.105,0.184,0.126,0.151,0.093,0.1615,0.098
70,71,2831,M,Disease,9B3,101,423,878,0.125,0.1515,0.11,0.1555,0.148,0.156,0.1,0.156,0.11
71,72,2831,M,Disease,9B4,287,2695,556,0.1065,0.146,0.095,0.208,0.132,0.155,0.092,0.1805,0.098
72,73,2851,M,Control,10A1,309,4277,777,0.097,0.1325,0.091,0.197,0.113,0.135,0.081,0.1445,0.085
73,74,2851,M,Control,10A2,316,4418,1020,0.122,0.169,0.117,0.216,0.147,0.159,0.103,0.165,0.107
74,75,2851,M,Control,10A3,340,5738,179,0.123,0.1575,0.106,0.193,0.128,0.135,0.095,0.1635,0.1065
75,76,2851,M,Control,10A4,109,900,459,0.117,0.161,0.108,0.193,0.1435,0.142,0.09,0.15,0.1
