,index,Mouse,Sex,Genotype,File,Signal1,Signal2,Signal3,all SIGNAL1,SIGNAL1 & SIGNAL2,SIGNAL1 no SIGNAL2,SIGNAL1 & SIGNAL2 & SIGNAL3,SIGNAL1 & SIGNAL2 no SIGNAL3,SIGNAL1 & SIGNAL3 & SIGNAL2,SIGNAL1 no SIGNAL2 no SIGNAL3,SIGNAL1 & SIGNAL3,SIGNAL1 no SIGNAL3
0,1,2940,F,Disease,1A1,463,5017,795,131.557,63.688,67.869,29.777,33.911,21.466,46.403,51.243,80.314
1,2,2940,F,Disease,1A2,159,2499,933,133.222,54.833,78.389,15.283,39.55,20.449,57.94,35.732,97.49
2,3,2940,F,Disease,1A3,148,6118,577,132.616,38.386,94.23,15.744,22.642,20.578,73.652,36.322,96.294
3,4,2940,F,Disease,1A4,440,2424,809,176.825,64.193,112.632,27.458,36.735,35.96,76.672,63.418,113.407
4,5,2940,F,Disease,1B1,367,3165,897,147.641,52.097,95.544,18.384,33.713,23.321,72.223,41.705,105.936
5,6,2940,F,Disease,1B2,321,4589,982,147.648,52.282,95.366,25.52,26.762,38.88,56.486,64.4,83.248
6,7,2940,F,Disease,1B3,57,2624,398,162.41,57.436,104.974,26.527,30.909,39.547,65.427,66.074,96.336
7,8,2940,F,Disease,1B4,426,3821,945,159.222,58.307,100.915,27.713,30.594,30.122,70.793,57.835,101.387
8,9,2936,F,Disease,2A1,398,3564,642,94.263,41.57,52.693,3.273,38.297,2.19,50.503,5.463,88.8
9,10,2936,F,Disease,2A2,155,2993,951,101.629,45.593,56.036,4.38,41.213,4.725,51.311,9.105,92.524
10,11,2936,F,Disease,2A3,449,5150,1066,96.777,46.319,50.458,13.003,33.316,10.38,40.078,23.383,73.394
11,12,2936,F,Disease,2A4,471,1072,1116,98.176,39.516,58.66,11.214,28.302,12.147,46.513,23.361,74.815
12,13,2936,F,Disease,2B1,284,4363,1019,151.228,62.783,88.445,22.09,40.693,20.905,67.54,42.995,108.233
13,14,2936,F,Disease,2B2,110,1766,713,116.659,56.165,60.494,11.656,44.509,10.438,50.056,22.094,94.565
14,15,2936,F,Disease,2B3,415,3744,899,187.553,58.598,128.955,19.895,38.703,32.742,96.213,52.637,134.916
15,16,2936,F,Disease,2B4,331,3845,758,168.215,63.329,104.886,34.059,29.27,44.12,60.766,78.179,90.036
16,17,2849,M,Disease,3A1,365,5009,857,78.261,36.38,41.881,11.926,24.454,6.913,34.968,18.839,59.422
17,18,2849,M,Disease,3A2,115,3636,1018,74.513,29.526,44.987,7.55,21.976,9.678,35.309,17.228,57.285
18,19,2849,M,Disease,3A3,365,5270,923,109.793,36.696,73.097,15.475,21.221,20.49,52.607,35.965,73.828
19,20,2849,M,Disease,3A4,206,3645,899,103.944,14.745,89.199,6.278,8.467,26.515,62.684,32.793,71.151
20,21,2849,M,Disease,3B1,93,5560,971,94.347,25.692,68.655,5.314,20.378,10.316,58.339,15.63,78.717
21,22,2849,M,Disease,3B2,269,6196,351,92.957,26.679,66.278,12.215,14.464,25.886,40.392,38.101,54.856
22,23,2849,M,Disease,3B3,359,6230,268,116.626,30.887,85.739,12.609,18.278,31.695,54.044,44.304,72.322
23,24,2849,M,Disease,3B4,197,4341,601,118.647,44.119,74.528,13.467,30.652,17.457,57.071,30.924,87.723
24,25,2855,M,Control,4A1,173,3167,1179,124.984,36.643,88.341,15.035,21.608,25.621,62.72,40.656,84.328
25,26,2855,M,Control,4A2,277,1737,763,141.085,54.082,87.003,20.213,33.869,22.963,64.04,43.176,97.909
26,27,2855,M,Control,4A3,59,1548,637,155.053,73.187,81.866,25.331,47.856,18.309,63.557,43.64,111.413
